Model,Family,Val R²,Val RMSE,Val MAE,Val MAPE %,CV R²,CV RMSE,Test R²,Test RMSE,Train (s),Pred (ms)
Extra Trees,Tree,0.963,1.0778,0.7146,11.08,0.9474,1.1899,0.961,0.9719,18.06,60.83
Random Forest,Tree,0.9585,1.1414,0.878,11.85,0.9243,1.4204,0.9558,1.0338,21.81,58.93
Decision Tree,Tree,0.9514,1.2349,0.985,10.15,0.8838,1.7502,0.9226,1.368,0.39,1.03
Gradient Boosting,Boosting,0.9472,1.2872,0.9252,13.88,0.9185,1.4777,0.9476,1.1263,11.55,2.31
AdaBoost,Boosting,0.9404,1.3674,0.9931,14.04,0.9062,1.5746,0.9389,1.2161,10.21,8.47
Lasso,Linear,0.8972,1.7952,1.2349,20.46,0.8906,1.7061,0.9159,1.4268,0.15,1.49
ElasticNet,Linear,0.8946,1.8177,1.2453,20.49,0.8904,1.7091,0.9158,1.4269,0.36,1.69
Linear Regression,Linear,0.8945,1.8186,1.2444,20.42,0.8904,1.7097,0.9154,1.4308,0.0,1.58
Ridge,Linear,0.8941,1.8221,1.2485,20.57,0.8904,1.7095,0.9161,1.4244,3.95,1.42
SVR,Other,0.888,1.8745,1.2664,16.41,0.9159,1.491,0.9292,1.3089,0.73,1.41
KNN,Other,0.8792,1.9461,1.317,23.33,0.8851,1.7481,0.8629,1.8212,0.2,1.79
